iso_code,country,year,co2_per_capita,co2_growth_rate,coal_share,renewables_share,anomaly_score,is_anomaly
PRK,North Korea,2004,2.957,2.2511155781760106,92.11399570564124,3.109227294275101,-0.07702647521150885,1
PRK,North Korea,2005,3.075,4.584367418644231,93.0489268097587,3.116917744300764,-0.05147368004136976,1
PRK,North Korea,2006,3.106,1.5464604719370725,93.9635026913483,3.154785348562428,-0.0687199320070262,1
PRK,North Korea,2007,2.576,-16.66272810817907,92.1516115819654,3.7162481489649934,-0.0862499581705819,1
PRK,North Korea,2008,2.84,10.787989539683029,92.69686886784405,3.4837755595370083,-0.10662744499646126,1
PRK,North Korea,2009,2.72,-3.790916588459458,92.71652379544784,3.4555128584096764,-0.059485788723847244,1
PRK,North Korea,2010,2.616,-3.406739580254204,92.40302960752813,3.6676612347945934,-0.05466319112687812,1
PRK,North Korea,2011,1.907,-26.75847295539745,89.3830822905133,5.0974575385965295,-0.07276652146884754,1
PRK,North Korea,2012,1.854,-2.323103599557097,89.38509250347556,5.199443909742271,-0.018231939066949643,1
PRK,North Korea,2013,1.427,-22.694898941289708,85.4581673306773,6.980411686586976,-0.05185134257147728,1
PRK,North Korea,2015,1.223,-21.461393596986824,82.28147579768527,8.171877997314397,-0.03816204026576431,1
PRK,North Korea,2016,1.332,9.457126414732397,82.76959925224911,7.886435331230274,-0.048698876317426754,1
PRK,North Korea,2017,2.7,103.61023484051874,92.0525621162564,3.7427554943478327,-0.13808931706067906,1
PRK,North Korea,2018,2.414,-10.185344580249044,91.8045617173524,3.553858931765916,-0.04452707863276051,1
PRK,North Korea,2019,2.67,11.02734474827498,92.35959258833006,3.0757279318678883,-0.09081772128160237,1
PRK,North Korea,2020,2.509,-5.660893083208663,92.03379233572748,3.3121368772587942,-0.08901269328751482,1
PRK,North Korea,2021,2.057,-17.69980328468823,91.1969612747823,4.213451917732058,-0.057390937768588945,1
PRK,North Korea,2022,2.138,4.296831573096172,90.9413917461671,4.441365097976515,-0.033720774201830284,1
PRK,North Korea,2023,2.348,10.190268080797305,91.48891575977429,4.340185409109225,-0.05059700662492306,1
PRK,North Korea,2024,2.36,0.846432889963733,91.3717026378897,4.303756994404466,-0.036812117816933276,1
QAT,Qatar,1990,25.962,1.9077901430842648,0.0,1.1200560028001405,-0.10190511990116768,1
QAT,Qatar,1991,38.285,52.3801190059503,0.0,1.4413690134374804,-0.179147326619707,1
QAT,Qatar,1992,57.097,53.99104169059377,0.0,0.9658412887828264,-0.19459445262057684,1
QAT,Qatar,1993,63.4,14.562201670644392,0.0,0.8398164122261704,-0.17249380801201508,1
QAT,Qatar,1994,64.819,5.383939324891762,0.0,6.983783783783778,-0.16198663140986114,1
QAT,Qatar,1995,64.491,2.4555984555984622,0.0,6.219475429605069,-0.15983692027898788,1
QAT,Qatar,1996,65.162,3.925233644859816,0.0,8.928985843583206,-0.13960417901673527,1
QAT,Qatar,1997,76.715,22.51102343931306,0.0,13.534760371282433,-0.15511910973994958,1
QAT,Qatar,1998,63.665,-12.483424891077854,0.0,15.221861471861471,-0.1349944229573461,1
QAT,Qatar,1999,59.305,-1.718073593073588,0.0,16.43220922229871,-0.11755527514524089,1
QAT,Qatar,2000,62.646,11.234686854783194,0.0,16.982626342622382,-0.11589520806897202,1
QAT,Qatar,2001,67.727,13.63163886551504,0.0,12.512523413337988,-0.09357704080521945,1
QAT,Qatar,2002,63.518,-1.6095308620464488,0.0,12.274488101826222,-0.1096219801479662,1
QAT,Qatar,2003,62.618,3.2230215827338204,0.0,13.756942806287654,-0.08422403846514603,1
QAT,Qatar,2004,61.344,1.734897385859191,0.0,12.230185497470472,-0.09020042109032023,1
QAT,Qatar,2005,57.767,0.5101180438448649,0.0,10.5154985109685,-0.06557675729767742,1
QAT,Qatar,2006,61.421,25.31563273352628,0.0,8.357739360366836,-0.08909140335181776,1
QAT,Qatar,2007,49.255,-0.3732030190952695,0.0,9.368385687888464,-0.0414136136951323,1
QAT,Qatar,2008,43.359,3.932471023013617,0.0,9.524656139386792,-0.07814865356764733,1
QAT,Qatar,2009,41.175,5.550257794443292,0.0,8.895184135977345,-0.02844758515430479,1
QAT,Qatar,2010,43.09,12.78003215680268,0.0,6.83765325657491,-0.03683867811893782,1
